# Serial Log - 2026-04-18T18:00:20.299994
# Port: COM36 @ 115200bps
#============================================================
[18:00:20.300] 4,-2.300,-172.118,5.298,5.482
[18:00:20.339] imu_att:-0.106,-0.087,-2.300,-171.430,5.466,5.424
[18:00:20.379] imu_att:-0.112,-0.079,-2.300,-172.203,5.027,5.351
[18:00:20.419] imu_att:-0.125,-0.091,-2.300,-171.674,5.336,5.339
[18:00:20.460] imu_att:-0.120,-0.082,-2.300,-172.176,5.128,5.318
[18:00:20.500] imu_att:-0.118,-0.078,-2.299,-172.051,5.426,5.331
[18:00:20.539] imu_att:-0.116,-0.083,-2.299,-171.591,5.619,5.374
[18:00:20.579] imu_att:-0.129,-0.088,-2.299,-171.493,5.682,5.425
[18:00:20.618] imu_att:-0.146,-0.087,-2.298,-171.818,5.815,5.498
[18:00:20.660] imu_att:-0.123,-0.073,-2.299,-171.831,5.409,5.479
[18:00:20.699] imu_att:-0.078,-0.116,-2.300,-170.861,5.909,5.475
[18:00:20.739] imu_att:-0.123,-0.112,-2.300,-172.488,5.286,5.511
[18:00:20.779] imu_att:-0.177,-0.078,-2.300,-171.651,5.381,5.424
[18:00:20.820] imu_att:-0.139,-0.096,-2.301,-171.239,5.994,5.496
[18:00:20.859] imu_att:-0.138,-0.096,-2.301,-172.058,5.444,5.538
[18:00:20.899] imu_att:-0.131,-0.119,-2.300,-171.756,5.717,5.590
[18:00:20.939] imu_att:-0.136,-0.133,-2.299,-171.105,5.805,5.606
[18:00:20.978] imu_att:-0.143,-0.106,-2.299,-171.168,5.964,5.630
[18:00:21.020] imu_att:-0.145,-0.085,-2.299,-170.848,6.223,5.632
[18:00:21.059] imu_att:-0.113,-0.008,-2.301,-171.887,5.375,5.599
[18:00:21.099] imu_att:-0.181,-0.065,-2.299,-171.359,5.763,5.598
[18:00:21.140] imu_att:-0.151,-0.106,-2.300,-171.627,5.611,5.601
[18:00:21.180] imu_att:-0.191,-0.194,-2.300,-171.532,5.517,5.609
[18:00:21.219] imu_att:-0.158,-0.088,-2.303,-171.742,5.574,5.653
[18:00:21.259] imu_att:-0.116,-0.039,-2.303,-170.949,5.929,5.634
[18:00:21.298] imu_att:-0.099,0.002,-2.304,-172.221,5.345,5.632
