# Serial Log - 2026-04-18T18:22:06.119313
# Port: COM36 @ 115200bps
#============================================================
[18:22:06.119] 127.670,-1566.538
[18:22:06.157] imu_att:-0.007,-0.025,-0.065,-176.647,-0.164,0.311
[18:22:06.157] imu_mag3:-976.279,-119.694,-1564.598
[18:22:06.198] imu_att:-0.010,-0.013,-0.065,-175.672,0.839,0.294
[18:22:06.199] imu_mag3:-988.281,-134.825,-1551.034
[18:22:06.238] imu_att:-0.020,-0.015,-0.066,-176.253,0.473,0.369
[18:22:06.238] imu_mag3:-1002.988,-127.863,-1566.525
[18:22:06.277] imu_att:-0.021,-0.024,-0.066,-176.367,0.026,0.301
[18:22:06.279] imu_mag3:-985.209,-124.773,-1561.443
[18:22:06.317] imu_att:-0.037,-0.019,-0.064,-176.212,0.160,0.254
[18:22:06.318] imu_mag3:-990.173,-127.819,-1559.344
[18:22:06.356] imu_att:-0.025,-0.005,-0.064,-176.077,0.259,0.229
[18:22:06.357] imu_mag3:-993.151,-129.801,-1561.370
[18:22:06.398] imu_att:-0.033,-0.006,-0.065,-176.037,0.068,0.175
[18:22:06.398] imu_mag3:-979.346,-129.651,-1561.379
[18:22:06.437] imu_att:-0.012,-0.022,-0.065,-176.164,0.498,0.222
[18:22:06.438] imu_mag3:-979.318,-127.538,-1571.677
[18:22:06.477] imu_att:-0.006,-0.009,-0.066,-176.048,0.391,0.251
[18:22:06.478] imu_mag3:-990.190,-129.701,-1566.507
[18:22:06.516] imu_att:-0.025,-0.008,-0.067,-176.033,0.303,0.273
[18:22:06.517] imu_mag3:-979.344,-129.610,-1564.460
[18:22:06.558] imu_att:-0.021,0.012,-0.066,-176.090,0.418,0.334
[18:22:06.559] imu_mag3:-983.283,-127.988,-1540.861
[18:22:06.597] imu_att:-0.029,-0.005,-0.067,-176.107,0.322,0.339
[18:22:06.598] imu_mag3:-976.374,-127.805,-1549.083
[18:22:06.637] imu_att:-0.041,-0.004,-0.066,-175.994,0.490,0.340
[18:22:06.638] imu_mag3:-969.488,-129.612,-1556.250
[18:22:06.676] imu_att:-0.029,-0.017,-0.065,-176.886,-0.734,0.276
[18:22:06.677] imu_mag3:-969.342,-115.841,-1551.305
[18:22:06.718] imu_att:-0.034,0.001,-0.065,-176.438,0.023,0.181
[18:22:06.719] imu_mag3:-985.200,-124.583,-1575.822
[18:22:06.757] imu_att:-0.013,0.004,-0.065,-176.376,0.803,0.260
[18:22:06.758] imu_mag3:-985.204,-124.664,-1569.660
[18:22:06.797] imu_att:-0.029,-0.004,-0.064,-176.699,0.202,0.358
[18:22:06.798] imu_mag3:-988.117,-119.931,-1556.373
[18:22:06.837] imu_att:-0.004,-0.012,-0.065,-175.691,0.497,0.324
[18:22:06.837] imu_mag3:-985.314,-134.617,-1564.389
[18:22:06.878] imu_att:-0.028,0.103,-0.063,-177.284,-0.518,0.286
[18:22:06.879] imu_mag3:-979.141,-110.830,-1564.718
[18:22:06.918] imu_att:0.012,-0.018,-0.067,-176.327,0.274,0.173
[18:22:06.919] imu_mag3:-993.099,-124.886,-1559.383
[18:22:06.957] imu_att:-0.030,-0.057,-0.066,-176.121,0.234,0.173
[18:22:06.958] imu_mag3:-998.080,-129.814,-1564.448
[18:22:06.997] imu_att:-0.087,0.026,-0.069,-176.516,-0.048,0.176
[18:22:06.997] imu_mag3:-988.164,-124.737,-1566.576
[18:22:07.037] imu_att:-0.036,-0.082,-0.067,-175.657,0.557,0.220
[18:22:07.039] imu_mag3:-1010.002,-137.917,-1559.195
[18:22:07.077] imu_att:-0.063,-0.048,-0.066,-175.983,0.552,0.275
