# Serial Log - 2026-04-11T15:45:25.750008
# Port: COM24 @ 115200bps
#============================================================
[15:45:25.753] 47.00,-1863.00
[15:45:25.791] -775.00,-1642.00,-1863.00
[15:45:25.831] -775.00,-1652.00,-1871.00
[15:45:25.873] -775.00,-1652.00,-1871.00
[15:45:25.912] -780.00,-1652.00,-1873.00
[15:45:25.953] -780.00,-1652.00,-1868.00
[15:45:25.992] -756.00,-1652.00,-1858.00
[15:45:26.033] -770.00,-1640.00,-1873.00
[15:45:26.073] -782.00,-1631.00,-1858.00
[15:45:26.113] -777.00,-1645.00,-1863.00
[15:45:26.151] -775.00,-1628.00,-1876.00
[15:45:26.191] -785.00,-1628.00,-1861.00
[15:45:26.233] -775.00,-1628.00,-1858.00
[15:45:26.273] -797.00,-1626.00,-1858.00
[15:45:26.312] -805.00,-1628.00,-1832.00
[15:45:26.352] -787.00,-1610.00,-1856.00
[15:45:26.393] -795.00,-1610.00,-1842.00
[15:45:26.432] -812.00,-1592.00,-1845.00
[15:45:26.473] -782.00,-1583.00,-1837.00
[15:45:26.512] -753.00,-1592.00,-1852.00
[15:45:26.551] -733.00,-1592.00,-1868.00
[15:45:26.593] -685.00,-1597.00,-1868.00
[15:45:26.632] -690.00,-1592.00,-1881.00
[15:45:26.671] -707.00,-1560.00,-1873.00
[15:45:26.712] -736.00,-1510.00,-1866.00
[15:45:26.753] -758.00,-1465.00,-1863.00
[15:45:26.792] -780.00,-1443.00,-1861.00
[15:45:26.833] -805.00,-1376.00,-1856.00
[15:45:26.859] -812.00,-1352.00,-1866.00
[15:45:26.913] -853.00,-1262.00,-1861.00
[15:45:26.952] -885.00,-1186.00,-1845.00
[15:45:26.992] -928.00,-1117.00,-1817.00
[15:45:27.019] -958.00,-1048.00,-1801.00
[15:45:27.074] -973.00,-991.00,-1770.00
[15:45:27.114] -1000.00,-996.00,-1767.00
[15:45:27.153] -985.00,-1012.00,-1757.00
[15:45:27.193] -1005.00,-1032.00,-1762.00
[15:45:27.233] -1002.00,-1067.00,-1760.00
[15:45:27.274] -995.00,-1058.00,-1781.00
[15:45:27.313] -985.00,-1065.00,-1762.00
[15:45:27.352] -978.00,-1077.00,-1767.00
[15:45:27.393] -978.00,-1077.00,-1767.00
[15:45:27.431] -971.00,-1062.00,-1781.00
[15:45:27.473] -978.00,-1048.00,-1760.00
[15:45:27.513] -990.00,-1027.00,-1767.00
[15:45:27.538] -990.00,-1003.00,-1760.00
[15:45:27.591] -990.00,-1008.00,-1760.00
[15:45:27.633] -1000.00,-1043.00,-1755.00
[15:45:27.673] -1000.00,-1086.00,-1742.00
[15:45:27.713] -992.00,-1196.00,-1735.00
[15:45:27.751] -948.00,-1317.00,-1732.00
[15:45:27.793] -856.00,-1531.00,-1703.00
[15:45:27.833] -746.00,-1671.00,-1713.00
[15:45:27.872] -690.00,-1745.00,-1711.00
[15:45:27.912] -636.00,-1771.00,-1723.00
[15:45:27.952] -403.00,-1902.00,-1735.00
[15:45:27.993] -276.00,-1932.00,-1735.00
[15:45:28.033] -130.00,-1971.00,-1757.00
[15:45:28.073] -2.00,-1930.00,-1801.00
[15:45:28.112] 52.00,-1882.00,-1832.00
[15:45:28.153] 91.00,-1811.00,-1897.00
[15:45:28.193] 130.00,-1776.00,-1917.00
[15:45:28.233] 163.00,-1776.00,-1902.00
[15:45:28.271] 178.00,-1802.00,-1888.00
[15:45:28.312] 193.00,-1823.00,-1852.00
[15:45:28.340] 208.00,-1866.00,-1847.00
[15:45:28.394] 222.00,-1871.00,-1842.00
[15:45:28.431] 247.00,-1866.00,-1837.00
[15:45:28.471] 298.00,-1856.00,-1835.00
[15:45:28.513] 311.00,-1858.00,-1842.00
[15:45:28.553] 316.00,-1818.00,-1852.00
[15:45:28.593] 327.00,-1813.00,-1856.00
[15:45:28.632] 342.00,-1811.00,-1871.00
[15:45:28.672] 337.00,-1811.00,-1868.00
[15:45:28.713] 362.00,-1808.00,-1866.00
[15:45:28.752] 372.00,-1802.00,-1866.00
[15:45:28.792] 352.00,-1800.00,-1866.00
[15:45:28.831] 375.00,-1813.00,-1850.00
