# Serial Log - 2026-04-11T15:57:40.345316
# Port: COM24 @ 115200bps
#============================================================
[15:57:40.633] -997.00
[15:57:40.784] ,-687.00,-1728.00
[15:57:40.901] -990.00,-68
[15:57:42.184] 2.00,-1726.00
[15:57:42.190] -985.00,-711.00,-1735.00
[15:57:42.193] -985.00,-716.00,-1732.00
[15:57:42.194] -976.00,-713.00,-1742.00
[15:57:42.194] -982.00,-711.00,-1728.00
[15:57:42.196] -982.00,-718.00,-1740.00
[15:57:42.198] -997.00,-711.00,-1721.00
[15:57:42.201] -992.00,-718.00,-1716.00
[15:57:42.218] -990.00,-711.00,-1726.00
[15:57:42.220] -1002.00,-713.00,-1721.00
[15:57:42.226] -997.00,-706.00,-1718.00
[15:57:42.227] -992.00,-711.00,-1718.00
[15:57:42.227] -985.00,-695.00,-1723.00
[15:57:42.229] -985.00,-706.00,-1723.00
[15:57:42.232] -982.00,-697.00,-1713.00
[15:57:42.234] -990.00,-695.00,-1728.00
[15:57:42.235] -990.00,-690.00,-1732.00
[15:57:42.238] -982.00,-687.00,-1723.00
[15:57:42.240] -1002.00,-703.00,-1732.00
[15:57:42.240] -992.00,-695.00,-1718.00
[15:57:42.240] -995.00,-695.00,-1735.00
[15:57:42.242] -1005.00,-695.00,-1726.00
[15:57:42.243] -1005.00,-685.00,-1728.00
[15:57:42.243] -1025.00,-716.00,-1716.00
[15:57:42.245] -1005.00,-697.00,-1718.00
[15:57:42.246] -1002.00,-701.00,-1711.00
[15:57:42.246] -1002.00,-706.00,-1706.00
[15:57:42.250] -1007.00,-721.00,-1716.00
[15:57:42.254] -1015.00,-721.00,-1701.00
[15:57:42.254] -992.00,-727.00,-1708.00
[15:57:42.254] -1012.00,-730.00,-1721.00
[15:57:42.255] -1000.00,-725.00,-1711.00
[15:57:42.256] -1002.00,-716.00,-1706.00
[15:57:42.257] -997.00,-730.00,-1726.00
[15:57:42.257] -995.00,-742.00,-1726.00
[15:57:42.259] -1005.00,-727.00,-1737.00
[15:57:42.259] -997.00,-742.00,-1723.00
[15:57:42.262] -987.00,-725.00,-1726.00
[15:57:42.262] -997.00,-732.00,-1732.00
[15:57:42.263] -990.00,-742.00,-1737.00
[15:57:42.265] -1002.00,-751.00,-1735.00
[15:57:42.267] -987.00,-742.00,-1745.00
[15:57:42.269] -997.00,-751.00,-1735.00
[15:57:42.272] -997.00,-756.00,-1737.00
[15:57:42.272] -1012.00,-748.00,-1726.00
[15:57:42.272] -1005.00,-758.00,-1721.00
[15:57:42.273] -992.00,-756.00,-1745.00
[15:57:42.310] -1000.00,-756.00,-1747.00
[15:57:42.349] -982.00,-748.00,-1752.00
[15:57:42.390] -971.00,-751.00,-1767.00
[15:57:42.419] -973.00,-737.00,-1773.00
