# Serial Log - 2026-04-11T16:49:27.742250
# Port: COM24 @ 115200bps
#============================================================
[16:49:27.751] ,-1927.00
[16:49:27.791] -948.00,-316.00,-1932.00
[16:49:27.830] -978.00,-318.00,-1917.00
[16:49:27.872] -992.00,-326.00,-1891.00
[16:49:27.912] -987.00,-342.00,-1873.00
[16:49:27.952] -1007.00,-347.00,-1868.00
[16:49:27.991] -1022.00,-373.00,-1876.00
[16:49:28.030] -1015.00,-397.00,-1876.00
[16:49:28.072] -1017.00,-431.00,-1897.00
[16:49:28.111] -1005.00,-473.00,-1897.00
[16:49:28.150] -1000.00,-490.00,-1900.00
[16:49:28.190] -1022.00,-511.00,-1902.00
[16:49:28.232] -1022.00,-508.00,-1893.00
[16:49:28.270] -1051.00,-537.00,-1863.00
[16:49:28.312] -1056.00,-558.00,-1863.00
[16:49:28.351] -1112.00,-600.00,-1817.00
[16:49:28.392] -1130.00,-608.00,-1793.00
[16:49:28.431] -1135.00,-656.00,-1773.00
[16:49:28.471] -1163.00,-708.00,-1745.00
[16:49:28.512] -1198.00,-756.00,-1693.00
[16:49:28.552] -1215.00,-803.00,-1623.00
[16:49:28.591] -1312.00,-877.00,-1502.00
[16:49:28.631] -1340.00,-943.00,-1412.00
[16:49:28.671] -1355.00,-958.00,-1376.00
[16:49:28.710] -1340.00,-935.00,-1386.00
[16:49:28.752] -1317.00,-893.00,-1440.00
[16:49:28.791] -1286.00,-853.00,-1466.00
[16:49:28.831] -1281.00,-827.00,-1500.00
[16:49:28.873] -1266.00,-808.00,-1528.00
[16:49:28.912] -1237.00,-782.00,-1580.00
[16:49:28.952] -1225.00,-763.00,-1587.00
[16:49:28.991] -1222.00,-748.00,-1587.00
[16:49:29.030] -1215.00,-766.00,-1580.00
[16:49:29.072] -1225.00,-806.00,-1556.00
[16:49:29.112] -1250.00,-801.00,-1538.00
[16:49:29.151] -1215.00,-732.00,-1548.00
[16:49:29.189] -1205.00,-687.00,-1567.00
[16:49:29.232] -1198.00,-616.00,-1572.00
[16:49:29.271] -1181.00,-558.00,-1608.00
[16:49:29.311] -1153.00,-508.00,-1618.00
[16:49:29.350] -1153.00,-508.00,-1618.00
[16:49:29.390] -1063.00,-426.00,-1687.00
[16:49:29.432] -1005.00,-450.00,-1770.00
[16:49:29.472] -941.00,-466.00,-1842.00
[16:49:29.511] -912.00,-516.00,-1883.00
[16:49:29.551] -910.00,-590.00,-1893.00
[16:49:29.591] -915.00,-630.00,-1900.00
[16:49:29.631] -938.00,-708.00,-1886.00
[16:49:29.671] -931.00,-827.00,-1891.00
[16:49:29.710] -905.00,-993.00,-1920.00
[16:49:29.752] -746.00,-1286.00,-1938.00
[16:49:29.779] -618.00,-1510.00,-1938.00
[16:49:29.831] -506.00,-1645.00,-1922.00
[16:49:29.869] -222.00,-1892.00,-1871.00
[16:49:29.913] -22.00,-1921.00,-1863.00
[16:49:29.952] 145.00,-1895.00,-1878.00
[16:49:29.992] 267.00,-1878.00,-1878.00
[16:49:30.030] 288.00,-1887.00,-1871.00
[16:49:30.070] 267.00,-1861.00,-1891.00
[16:49:30.113] 203.00,-1871.00,-1925.00
[16:49:30.153] 163.00,-1866.00,-1907.00
[16:49:30.191] 155.00,-1882.00,-1902.00
[16:49:30.231] 193.00,-1908.00,-1891.00
[16:49:30.271] 150.00,-1895.00,-1863.00
[16:49:30.311] 117.00,-1913.00,-1845.00
[16:49:30.351] -42.00,-1940.00,-1830.00
[16:49:30.391] -342.00,-1953.00,-1708.00
[16:49:30.431] -531.00,-1958.00,-1570.00
[16:49:30.472] -657.00,-1982.00,-1322.00
[16:49:30.510] -738.00,-1987.00,-1041.00
[16:49:30.550] -782.00,-1980.00,-801.00
[16:49:30.590] -810.00,-1961.00,-582.00
[16:49:30.631] -743.00,-1950.00,-425.00
[16:49:30.672] -648.00,-1973.00,-262.00
[16:49:30.711] -465.00,-1987.00,-63.00
[16:49:30.750] -257.00,-1971.00,87.00
[16:49:30.790] -47.00,-1963.00,185.00
[16:49:30.830] 68.00,-1953.00,223.00
[16:49:30.872] 68.00,-1953.00,223.00
[16:49:30.911] 250.00,-1908.00,275.00
[16:49:30.950] 318.00,-1930.00,260.00
[16:49:30.991] 408.00,-1937.00,238.00
[16:49:31.019] 452.00,-1956.00,197.00
[16:49:31.070] 470.00,-1958.00,192.00
[16:49:31.110] 440.00,-1950.00,202.00
[16:49:31.151] 335.00,-1961.00,221.00
[16:49:31.192] 101.00,-1942.00,262.00
[16:49:31.230] -181.00,-1940.00,195.00
[16:49:31.270] -442.00,-1918.00,48.00
[16:49:31.311] -597.00,-1913.00,-87.00
[16:49:31.351] -753.00,-1908.00,-303.00
[16:49:31.391] -812.00,-1906.00,-415.00
[16:49:31.431] -897.00,-1890.00,-703.00
